,close,high,low,open,time,volumefrom,volumeto
7333,350.28,350.29,350.2,350.2,1514330220.0,5.72,2013.73
7334,350.31,350.31,350.16,350.25,1514330280.0,1.26,446.28
7335,350.64,350.66,349.96,350.33,1514330340.0,17.85,6228.85
7336,350.78,350.78,350.59,350.64,1514330400.0,10.55,3692.25
7337,350.04,350.78,349.91,350.78,1514330460.0,41.08,14395.14
7338,350.33,350.35,350.04,350.04,1514330520.0,10.36,3593.53
7339,350.1,350.42,350.1,350.33,1514330580.0,22.13,7688.08
7340,350.22,350.22,350.1,350.1,1514330640.0,30.22,10499.11
7341,350.45,350.75,349.56,350.22,1514330700.0,214.55,75230.35
7342,350.35,351.59,350.33,350.45,1514330760.0,36.55,12802.09
7343,350.83,351.54,350.35,350.35,1514330820.0,11.45,3990.82
7344,350.79,350.83,350.69,350.83,1514330880.0,16.44,5745.44
7345,350.42,350.77,350.39,350.77,1514330940.0,6.55,2291.4
7346,350.21,350.3,350.2,350.24,1514331000.0,10.42,3635.5
7347,350.55,350.69,350.12,350.18,1514331060.0,25.22,8838.75
7348,351.61,351.61,350.2,350.74,1514331120.0,64.49,22622.43
7349,351.59,351.6,350.89,351.6,1514331180.0,18.92,6679.63
7350,351.39,351.67,351.39,351.67,1514331240.0,3.37,1204.13
7351,350.15,351.38,349.97,351.38,1514331300.0,13.93,4875.95
7352,352.58,352.61,350.15,350.15,1514331360.0,272.02,97652.62
7353,351.65,351.65,351.15,351.33,1514331420.0,24.02,8477.1
7354,351.77,351.83,351.43,351.64,1514331480.0,37.55,13280.66
7355,352.69,352.77,351.48,351.77,1514331540.0,132.75,46788.08
7356,352.72,352.75,352.62,352.69,1514331600.0,20.1,7006.84
7357,352.83,352.89,352.7,352.72,1514331660.0,25.07,8828.78
7358,352.87,352.89,352.79,352.84,1514331720.0,34.91,12294.81
7359,353.82,354.21,352.79,352.87,1514331780.0,131.31,46523.44
7360,355.93,356.17,353.82,353.82,1514331840.0,111.61,39671.76
7361,355.86,356.3,355.86,355.93,1514331900.0,100.94,35810.79
7362,355.93,356.4,354.8,355.86,1514331960.0,213.03,75660.52
7363,356.2,356.25,355.92,355.93,1514332020.0,7.86,2823.87
7364,356.98,356.98,356.26,356.26,1514332080.0,21.58,7704.5
7365,357.27,357.78,356.98,356.98,1514332140.0,288.82,103291.58
7366,356.93,357.63,356.9,357.27,1514332200.0,21.54,7739.03
7367,357.01,357.42,356.93,356.93,1514332260.0,162.2,57914.99
7368,357.72,357.72,357.3,357.3,1514332320.0,98.84,35372.26
7369,357.78,357.83,357.69,357.72,1514332380.0,97.26,34833.36
7370,357.82,357.83,357.78,357.78,1514332440.0,21.73,7774.33
7371,357.83,357.96,357.82,357.82,1514332500.0,40.42,14483.2
7372,357.93,357.94,357.83,357.94,1514332560.0,1.88,687.74
7373,357.96,357.96,357.93,357.93,1514332620.0,1.08,387.63
7374,357.79,358.02,357.5,357.96,1514332680.0,87.07,31131.27
7375,357.33,357.8,357.33,357.79,1514332740.0,9.83,3522.6
7376,357.71,357.71,357.22,357.33,1514332800.0,22.61,8093.66
7377,357.54,357.71,356.22,357.71,1514332860.0,71.85,25744.36
7378,357.19,357.77,357.19,357.77,1514332920.0,37.59,13430.4
7379,357.39,357.7,357.19,357.19,1514332980.0,3.37,1207.9
7380,358.61,359.63,357.39,357.39,1514333040.0,415.15,149002.16
7381,360.03,360.03,358.61,358.61,1514333100.0,50.13,18020.92
7382,360.19,360.19,359.61,360.04,1514333160.0,55.65,20056.13
7383,360.23,360.23,359.81,360.19,1514333220.0,55.88,20056.46
7384,360.16,360.29,360.16,360.26,1514333280.0,21.45,7721.85
7385,360.14,360.15,360.02,360.02,1514333340.0,25.69,9245.55
7386,360.33,360.39,360.08,360.1,1514333400.0,39.67,14280.1
7387,360.35,360.39,360.21,360.33,1514333460.0,22.95,8246.24
7388,360.44,360.44,360.28,360.33,1514333520.0,24.85,8962.52
7389,360.31,360.44,360.15,360.44,1514333580.0,52.59,18919.92
7390,360.34,360.34,360.17,360.19,1514333640.0,274.42,98799.13
7391,360.84,361.0,360.35,360.35,1514333700.0,52.7,18990.97
7392,362.11,362.11,360.84,360.84,1514333760.0,105.5,38309.28
7393,362.31,362.36,361.51,362.24,1514333820.0,103.23,37291.15
7394,361.53,362.31,361.53,362.31,1514333880.0,35.86,12958.08
7395,361.44,361.53,361.43,361.53,1514333940.0,12.69,4592.84
7396,361.08,361.46,361.05,361.46,1514334000.0,22.13,7976.9
7397,360.58,361.29,360.58,360.95,1514334060.0,36.77,13253.23
7398,360.43,360.58,359.7,360.58,1514334120.0,98.38,35441.14
7399,361.89,361.89,360.24,360.43,1514334180.0,88.41,31843.76
7400,362.61,365.05,360.44,361.81,1514334240.0,573.36,208560.92
7401,364.13,364.96,362.61,362.61,1514334300.0,46.32,16860.59
7402,363.59,364.3,363.45,363.92,1514334360.0,112.56,41033.74
7403,365.14,365.14,363.79,364.07,1514334420.0,65.77,23990.19
7404,364.84,365.46,364.72,365.35,1514334480.0,99.39,36268.82
7405,364.96,365.04,364.03,364.85,1514334540.0,57.63,20971.7
7406,364.26,365.09,363.96,364.96,1514334600.0,40.96,14916.32
7407,365.41,366.36,364.26,364.26,1514334660.0,344.17,126146.72
7408,365.7,366.23,364.74,365.41,1514334720.0,148.93,54577.81
7409,365.74,365.79,364.49,365.75,1514334780.0,21.89,8047.12
7410,365.82,366.18,365.7,365.94,1514334840.0,23.56,8601.33
7411,367.6,368.2,365.86,365.86,1514334900.0,276.71,101834.72
7412,366.29,367.74,365.94,367.6,1514334960.0,134.17,49200.11
7413,366.4,366.44,366.05,366.05,1514335020.0,27.73,10174.17
7414,366.59,367.06,366.31,366.4,1514335080.0,56.67,20763.32
7415,366.41,367.28,366.24,366.33,1514335140.0,212.38,77812.98
7416,366.58,366.88,366.37,366.41,1514335200.0,110.57,40501.6
7417,366.77,366.9,366.57,366.58,1514335260.0,615.03,225163.65
7418,366.43,366.78,366.43,366.78,1514335320.0,31.86,11659.01
7419,366.58,366.94,366.56,366.56,1514335380.0,10.81,4008.88
7420,366.26,366.75,366.26,366.58,1514335440.0,106.69,39048.23
7421,367.27,367.27,366.26,366.26,1514335500.0,25.0,9135.11
7422,366.64,367.27,366.64,367.27,1514335560.0,12.3,4494.69
7423,366.36,366.71,366.16,366.64,1514335620.0,18.45,6760.07
7424,366.29,366.36,366.16,366.36,1514335680.0,10.21,3774.41
7425,366.57,366.59,366.29,366.29,1514335740.0,18.9,6951.35
7426,366.45,367.08,366.28,366.57,1514335800.0,104.59,38287.3
7427,366.46,367.07,366.15,366.48,1514335860.0,42.45,15659.01
7428,366.5,367.0,366.46,366.46,1514335920.0,77.02,28170.13
7429,368.24,368.26,366.5,366.5,1514335980.0,32.63,11986.41
7430,368.17,368.33,366.64,368.29,1514336040.0,117.56,43072.64
7431,367.29,368.18,367.14,368.17,1514336100.0,47.53,17528.93
7432,367.65,367.87,367.29,367.29,1514336160.0,38.2,14059.02
7433,367.75,367.77,367.65,367.65,1514336220.0,28.93,10708.57
7434,367.74,368.6,367.74,367.98,1514336280.0,38.94,14339.42
7435,367.57,367.75,367.57,367.74,1514336340.0,14.49,5339.09
7436,367.94,367.94,367.36,367.65,1514336400.0,31.98,11763.48
7437,368.05,368.05,367.76,367.76,1514336460.0,25.0,9201.61
7438,368.1,368.86,367.72,368.09,1514336520.0,36.02,13273.86
7439,368.04,368.09,367.88,367.94,1514336580.0,17.32,6393.15
7440,368.26,368.29,368.02,368.02,1514336640.0,7.38,2713.38
7441,368.28,368.38,368.25,368.26,1514336700.0,13.28,4908.75
7442,368.81,368.86,368.28,368.28,1514336760.0,30.19,11124.37
7443,369.73,369.76,368.78,368.78,1514336820.0,310.5,114831.41
7444,369.36,369.89,369.27,369.73,1514336880.0,42.68,15785.18
7445,369.35,369.45,368.77,369.45,1514336940.0,87.67,32495.01
7446,369.61,369.66,369.34,369.36,1514337000.0,27.71,10247.52
7447,370.24,370.24,369.05,369.61,1514337060.0,189.28,70078.32
7448,371.34,371.37,370.11,370.24,1514337120.0,367.51,136159.01
7449,371.66,371.92,371.33,371.34,1514337180.0,85.75,31886.36
7450,371.54,372.22,369.51,371.66,1514337240.0,264.41,97892.21
7451,371.65,371.93,371.37,371.54,1514337300.0,37.39,13942.02
7452,372.32,372.32,371.46,371.69,1514337360.0,40.77,15165.16
7453,371.49,372.32,371.13,372.32,1514337420.0,122.09,45309.64
7454,371.7,371.7,371.33,371.49,1514337480.0,46.48,17327.07
7455,370.72,371.7,370.66,371.7,1514337540.0,99.12,37045.72
7456,370.52,371.76,370.52,370.72,1514337600.0,379.02,140666.66
7457,369.52,370.52,369.44,370.52,1514337660.0,422.72,156220.27
7458,371.36,372.14,369.52,369.52,1514337720.0,108.5,40373.97
7459,371.35,371.53,371.35,371.36,1514337780.0,44.99,16680.62
7460,369.96,371.35,369.17,371.25,1514337840.0,206.78,76535.51
7461,370.01,370.12,369.96,369.96,1514337900.0,17.83,6667.53
